latitude,longitude,elevation
51.07759,3.13829,22
51.0776,3.13849,22
51.07765,3.13866,23
51.07767,3.13867,23
51.07773,3.13883,24
51.07775,3.13883,23
51.07784,3.13894,23
51.07799,3.139,23
51.07808,3.139,23
51.07859,3.13876,27
51.07882,3.13868,28
51.07883,3.13868,28
51.07893,3.1387,28
51.07905,3.13876,28
51.0793,3.1391,27
51.07955,3.13962,29
51.07992,3.14074,27
51.07999,3.14085,27
51.08005,3.14086,28
51.08015,3.14083,28
51.08138,3.14009,31
51.08149,3.14085,31
51.08369,3.14223,30
51.08449,3.14267,29
51.08602,3.14338,28
51.08619,3.14341,28
51.08648,3.14335,28
51.08666,3.14331,28
51.08706,3.14313,27
51.09029,3.14534,24
51.09072,3.1444,25
51.09086,3.14429,25
51.09094,3.14421,25
51.09104,3.14399,24
51.09176,3.14225,24
51.09229,3.14266,22
51.09307,3.1396,22
51.0935,3.13796,21
51.09391,3.1364,21
51.09726,3.12928,22
51.09729,3.1292,22
51.09608,3.12812,22
51.09696,3.12676,23
51.09761,3.12593,24
51.09839,3.12494,25
51.09846,3.12483,25
51.09846,3.12465,25
51.09842,3.12454,25
51.09782,3.12372,25
51.0978,3.12357,25
51.09772,3.12354,25
51.0976,3.12331,24
51.09645,3.12046,26
51.09627,3.11978,27
51.09613,3.11915,27
51.09593,3.11815,28
51.09594,3.11804,28
51.09596,3.11795,28
51.09612,3.11766,28
51.09615,3.11756,28
51.09614,3.11747,28
51.09528,3.11542,29
51.09477,3.11463,30
51.09359,3.11279,30
51.09279,3.1116,30
51.09232,3.11106,31
51.09142,3.11014,31
51.09134,3.11,31
51.09204,3.10906,30
51.09213,3.10897,30
51.09219,3.10895,30
51.09227,3.10895,30
51.09239,3.10903,30
51.09276,3.10957,30
51.09285,3.10965,30
51.09294,3.10967,30
51.09305,3.10963,30
51.09316,3.10953,30
51.09372,3.10881,29
51.09447,3.10774,29
51.0953,3.106,28
51.09541,3.10582,28
51.09552,3.10569,28
51.09645,3.10478,27
51.09659,3.10473,27
51.09675,3.10474,27
51.09681,3.10476,26
51.09691,3.10468,26
51.09698,3.10455,26
51.09706,3.10441,26
51.09673,3.10426,27
51.09666,3.10399,27
51.09625,3.10255,28
51.09504,3.09846,32
51.09252,3.08987,28
51.09252,3.08987,28
51.09365,3.08892,32
51.09352,3.08864,33
51.09376,3.08841,33
51.09389,3.08819,33
51.09402,3.08791,34
51.09411,3.08746,35
51.0941,3.08699,36
51.09406,3.08668,36
51.09391,3.08621,37
51.09381,3.08593,37
51.09367,3.08556,37
51.09356,3.08525,37
51.09347,3.08515,37
51.09314,3.08493,36
51.09303,3.08495,36
51.09264,3.08473,35
51.09248,3.08461,36
51.09238,3.08437,37
51.09203,3.08291,39
51.09042,3.07632,35
51.09027,3.07582,36
51.0889,3.07248,37
51.08872,3.07275,37
51.08851,3.07295,37
51.08832,3.07307,36
51.08691,3.07377,35
51.08675,3.07381,35
51.08613,3.07521,35
51.0834,3.08165,35
51.08263,3.07724,34
51.0814,3.07852,35
51.08119,3.07868,35
51.08113,3.07791,35
51.08108,3.07768,34
51.08096,3.0773,34
51.08097,3.07573,34
51.08093,3.07535,34
51.08038,3.07374,34
51.0801,3.07298,33
51.07986,3.07215,33
51.0798,3.07154,33
51.07975,3.07148,33
51.07905,3.07154,32
51.07896,3.07145,32
51.0789,3.07004,34
51.07878,3.06936,34
51.0787,3.06832,33
51.07836,3.06779,33
51.07821,3.06738,33
51.07819,3.06709,33
51.07859,3.06264,34
51.07859,3.06264,34
51.07849,3.06267,34
51.07829,3.06283,34
51.07815,3.06298,34
51.07793,3.06257,34
51.07774,3.06208,33
51.07767,3.06153,31
51.07756,3.06091,31
51.0773,3.05911,29
51.0773,3.05886,29
51.07712,3.05022,27
51.07566,3.05033,26
51.07285,3.05053,29
51.0718,3.05062,31
51.06997,3.05071,35
51.06896,3.05081,33
51.06727,3.05095,32
51.06641,3.051,32
51.06567,3.05105,30
51.06276,3.05138,25
51.06276,3.05138,25
51.06306,3.05541,19
51.06242,3.05551,18
51.06034,3.05558,15
51.06025,3.05463,14
51.06003,3.05329,14
51.06016,3.05243,14
51.06018,3.05237,14
51.06007,3.05095,15
51.0601,3.05007,15
51.06001,3.0491,15
51.06003,3.04758,16
51.05999,3.0474,16
51.06002,3.04721,16
51.06037,3.04573,16
51.06049,3.04549,16
51.0606,3.0454,16
51.06077,3.04533,16
51.06085,3.04527,16
51.0609,3.04518,16
51.06089,3.04501,16
51.06057,3.04319,16
51.05943,3.03769,16
51.0593,3.03714,15
51.05881,3.03588,16
51.0587,3.03546,17
51.05868,3.03536,17
51.05863,3.03525,17
51.05856,3.03523,17
51.05847,3.03525,17
51.05833,3.03535,17
51.05825,3.03549,17
51.05715,3.03626,17
51.0568,3.0365,16
51.05661,3.03658,16
51.05645,3.03656,16
51.05622,3.03647,16
51.0555,3.036,16
51.05468,3.03568,14
51.05355,3.03515,15
51.05375,3.03207,16
51.05381,3.02998,15
51.05373,3.02831,15
51.05359,3.02756,15
51.05351,3.0256,15
51.05342,3.02488,15
51.05291,3.02304,16
51.05476,3.02194,19
51.05492,3.02177,19
51.0556,3.02072,19
51.05601,3.02047,19
51.05819,3.02005,19
51.05854,3.02,19
51.05898,3.0198,20
51.05912,3.01984,20
51.05965,3.0201,20
51.06029,3.02015,20
51.06057,3.02008,21
51.06074,3.02004,21
51.061,3.01999,21
51.06156,3.02001,22
51.06177,3.01998,23
51.06193,3.01993,23
51.0622,3.01987,23
51.06381,3.01993,25
51.06506,3.01991,23
51.06649,3.01952,24
51.06673,3.01964,24
51.06741,3.01951,25
51.06968,3.01909,36
51.0708,3.01884,40
51.07196,3.01762,44
51.07086,3.01615,42
51.06999,3.01454,41
